TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
23-01-2023,26,98,31.5,5,2
24-01-2023,25.1,98,76.4,4,2
25-01-2023,27,98,17.4,7,3
26-01-2023,26.6,96,131,10,3
27-01-2023,30.5,86,2.8,10,4
28-01-2023,-,99,0,9,5
29-01-2023,25.3,96,89.1,9,5
30-01-2023,29.1,91,6.2,9,5
31-01-2023,-,98,0.2,7,3
01-02-2023,29.2,90,14,6,3
02-02-2023,30.5,87,0,6,3
03-02-2023,30.7,89,10.4,12,3
04-02-2023,28,98,8888,5,2
05-02-2023,30.7,89,19.2,7,3
06-02-2023,31.6,80,0,5,2
07-02-2023,30.5,87,0,7,3
08-02-2023,31.2,87,0,8,3
09-02-2023,30.7,88,0,6,3
10-02-2023,30.8,84,0,6,4
11-02-2023,30.8,86,3,7,4
12-02-2023,29.9,94,19.5,6,2
13-02-2023,31,90,12.6,6,2
13-02-2023,31,90,12.6,6,2
14-02-2023,30.9,88,0,9,3
15-02-2023,28.7,93,2,7,2
16-02-2023,30,86,12.4,6,3
17-02-2023,30.7,85,0,6,3
18-02-2023,31.2,86,0,11,4
19-02-2023,31.8,83,0,8,4
20-02-2023,31.2,81,0,7,3
21-02-2023,31.5,78,0,8,4
22-02-2023,31.2,81,0,7,4
23-02-2023,32,78,0,9,5
24-02-2023,31.4,79,0,9,4
25-02-2023,30.2,82,-,8,4
26-02-2023,31.3,86,8888,8,4
27-02-2023,29.8,87,3.8,10,5
28-02-2023,-,98,7,8,4
01-03-2023,26.4,98,107.8,4,2
02-03-2023,30.1,94,12.4,8,3
03-03-2023,24.7,98,148.9,6,2
04-03-2023,24.6,98,77.3,10,4
04-03-2023,24.6,98,77.3,10,4
05-03-2023,27.5,93,171.6,6,3
06-03-2023,28.4,92,7.7,7,4
06-03-2023,28.4,92,7.7,7,4
07-03-2023,28.8,91,2.6,8,4
08-03-2023,30.8,87,1.6,7,4
09-03-2023,31.3,87,0,7,4
10-03-2023,28.2,95,0.2,6,3
11-03-2023,31,88,36.9,8,3
12-03-2023,30.9,85,8888,5,3
13-03-2023,30.1,82,8888,8,4
14-03-2023,30.5,86,0,7,4
15-03-2023,30.5,84,8888,6,3
16-03-2023,31.7,84,-,8,4
17-03-2023,31.3,86,0,7,3
18-03-2023,31.8,86,0,6,3
19-03-2023,30.2,92,0,6,3
20-03-2023,30.7,89,4.4,7,3
21-03-2023,31.4,91,0.5,4,1
22-03-2023,31.6,92,36.9,4,2
23-03-2023,33.1,87,13.5,6,2
24-03-2023,31.4,89,0,6,2
25-03-2023,30.3,95,8888,8,2
26-03-2023,31.6,89,35.2,4,2
27-03-2023,-,99,0,6,1
28-03-2023,33.4,81,14.5,5,2
29-03-2023,30.7,94,0,5,2
30-03-2023,31.9,86,18.2,7,3
31-03-2023,32.3,88,0,6,2
01-04-2023,32,89,8888,6,2
02-04-2023,32.7,87,0.2,5,2
03-04-2023,26.6,98,11,3,1
04-04-2023,32.9,85,8,5,1
05-04-2023,30.4,90,1.5,9,2
06-04-2023,30.8,89,1.8,6,1
07-04-2023,27.9,93,6.4,3,1
08-04-2023,31.1,90,0.1,4,2
09-04-2023,32.9,83,8888,8,3
10-04-2023,31.6,88,0,4,1
11-04-2023,33.2,84,5,5,2
12-04-2023,33.6,85,0,5,2
13-04-2023,31.9,91,0,4,1
14-04-2023,33,89,12.4,8,2
15-04-2023,32.4,88,0,5,2
16-04-2023,31.2,87,0,7,2
17-04-2023,32.3,86,8888,5,2
18-04-2023,33.2,84,-,4,2
19-04-2023,33.1,88,0,4,2
20-04-2023,30.3,91,3,4,1
21-04-2023,30.1,96,1.6,4,1
22-04-2023,32.7,91,26.3,4,1
23-04-2023,33.2,86,-,7,2
24-04-2023,32.4,90,-,3,1
25-04-2023,30.8,93,2,4,1
